comb7_str_key,comb5_name,comb5_nn,comb5_str_key
"4,4,9,11,12,12,14_unfl",TWO_PAIRS,4664,"4,4,12,12,14_unfl"
"2,3,5,7,11,13,14_2,5,7,11,13",FLUSH,6457,"2,5,7,11,13_fl"
"2,2,2,8,9,9,9_unfl",FULL_HOUSE,7224,"2,2,9,9,9_unfl"
"2,3,7,8,10,11,14_2,3,7,8,11",FLUSH,6009,"2,3,7,8,11_fl"
"4,4,4,5,5,7,12_unfl",FULL_HOUSE,7166,"4,4,4,5,5_unfl"
"4,4,9,10,10,11,12_4,9,10,11,12",FLUSH,6314,"4,9,10,11,12_fl"
"5,6,8,12,12,12,14_unfl",THREE_OF_KIND,5716,"8,12,12,12,14_unfl"
"6,6,6,8,11,12,13_6,8,11,12,13",FLUSH,6631,"6,8,11,12,13_fl"
"5,6,7,12,13,14,14_6,7,12,13,14",FLUSH,7110,"6,7,12,13,14_fl"
"6,9,10,11,12,14,14_6,9,10,11,12,14",FLUSH,6975,"9,10,11,12,14_fl"
"3,3,4,8,10,13,14_unfl",ONE_PAIR,1714,"3,3,10,13,14_unfl"
"2,3,4,5,6,9,12_3,4,5,6,12",FLUSH,6113,"3,4,5,6,12_fl"
"2,3,9,11,13,13,14_3,9,11,13,14",FLUSH,7082,"3,9,11,13,14_fl"
"2,4,4,8,13,13,14_2,4,8,13,14",FLUSH,6997,"2,4,8,13,14_fl"
"2,2,3,4,5,14,14_2,3,4,5,14",STRAIGHT_FLUSH,7452,"2,3,4,5,14_fl"
"2,6,7,8,11,12,13_2,6,7,11,12",FLUSH,6251,"2,6,7,11,12_fl"
"2,3,4,5,6,12,13_3,4,5,6,12",FLUSH,6113,"3,4,5,6,12_fl"
"3,6,6,7,10,12,13_unfl",ONE_PAIR,2320,"6,6,10,12,13_unfl"
"2,3,4,7,7,8,9_2,3,4,8,9",FLUSH,5896,"2,3,4,8,9_fl"
"2,4,8,9,10,11,12_2,4,8,11,12",FLUSH,6256,"2,4,8,11,12_fl"
"2,6,7,7,8,11,14_2,6,8,11,14",FLUSH,6798,"2,6,8,11,14_fl"
"4,6,6,8,9,10,11_4,8,9,10,11",FLUSH,6106,"4,8,9,10,11_fl"
"2,2,3,4,6,7,8_unfl",ONE_PAIR,1296,"2,2,6,7,8_unfl"
"2,3,6,9,10,11,13_2,3,6,9,10,11",FLUSH,6096,"3,6,9,10,11_fl"
"2,2,2,3,5,14,14_unfl",FULL_HOUSE,7151,"2,2,2,14,14_unfl"
"5,6,7,8,12,13,14_5,6,7,8,12,14",FLUSH,6890,"6,7,8,12,14_fl"
"5,7,10,10,10,11,14_5,7,10,11,14",FLUSH,6841,"5,7,10,11,14_fl"
"5,8,9,10,11,13,14_8,9,10,11,13,14",FLUSH,7095,"9,10,11,13,14_fl"
"5,7,9,10,11,13,14_5,7,9,11,13",FLUSH,6492,"5,7,9,11,13_fl"
"5,5,7,8,8,10,13_unfl",TWO_PAIRS,4344,"5,5,8,8,13_unfl"
"3,4,6,6,9,12,13_3,4,9,12,13",FLUSH,6565,"3,4,9,12,13_fl"
"2,3,4,5,9,11,13_2,3,4,5,13",FLUSH,6318,"2,3,4,5,13_fl"
"2,4,5,6,9,9,14_2,4,5,6,9,14",FLUSH,6690,"4,5,6,9,14_fl"
"4,6,10,11,12,13,13_4,6,10,11,12",FLUSH,6299,"4,6,10,11,12_fl"
"2,3,6,7,9,13,14_2,6,7,9,13,14",FLUSH,7025,"6,7,9,13,14_fl"
"5,7,8,10,11,12,12_unfl",ONE_PAIR,3595,"8,10,11,12,12_unfl"
"4,7,7,8,13,13,13_unfl",FULL_HOUSE,7277,"7,7,13,13,13_unfl"
"2,3,4,4,5,6,12_2,3,4,5,6",STRAIGHT_FLUSH,7453,"2,3,4,5,6_fl"
"4,5,9,10,11,12,13_4,5,9,10,11,12",FLUSH,6315,"5,9,10,11,12_fl"
"2,7,8,9,9,11,14_2,8,9,11,14",FLUSH,6822,"2,8,9,11,14_fl"
"4,4,4,4,7,7,7_unfl",FOUR_OF_KIND,7324,"4,4,4,4,7_unfl"
"7,7,10,10,13,13,13_unfl",FULL_HOUSE,7280,"10,10,13,13,13_unfl"
"3,5,6,10,11,11,12_5,6,10,11,12",FLUSH,6300,"5,6,10,11,12_fl"
"5,6,6,8,10,11,14_6,8,10,11,14",FLUSH,6847,"6,8,10,11,14_fl"
"5,6,6,8,8,13,13_unfl",TWO_PAIRS,4812,"6,8,8,13,13_unfl"
"4,8,9,10,13,14,14_4,8,9,10,13",FLUSH,6440,"4,8,9,10,13_fl"
"6,6,7,9,10,11,14_6,7,9,10,11,14",FLUSH,6854,"7,9,10,11,14_fl"
"2,3,5,6,9,12,14_2,5,6,9,12,14",FLUSH,6900,"5,6,9,12,14_fl"
"2,6,7,8,9,12,14_2,6,7,8,12",FLUSH,6140,"2,6,7,8,12_fl"
"2,3,5,6,10,11,14_2,5,10,11,14",FLUSH,6831,"2,5,10,11,14_fl"
"2,2,3,7,9,12,12_unfl",TWO_PAIRS,4638,"2,2,9,12,12_unfl"
"3,6,10,11,11,12,13_3,6,10,11,12,13",FLUSH,6644,"6,10,11,12,13_fl"
"4,9,10,11,11,12,14_4,9,10,12,14",FLUSH,6935,"4,9,10,12,14_fl"
"2,3,4,7,10,11,13_2,3,7,11,13",FLUSH,6454,"2,3,7,11,13_fl"
"2,6,6,11,12,13,13_2,6,11,12,13",FLUSH,6618,"2,6,11,12,13_fl"
"3,4,6,9,11,12,13_3,4,6,9,12,13",FLUSH,6571,"4,6,9,12,13_fl"
"2,3,4,6,10,12,14_3,4,6,12,14",FLUSH,6862,"3,4,6,12,14_fl"
"2,3,5,7,7,9,13_2,3,5,9,13",FLUSH,6354,"2,3,5,9,13_fl"
"2,3,4,5,8,13,13_2,3,4,8,13",FLUSH,6333,"2,3,4,8,13_fl"
"4,5,6,8,10,10,11_4,5,6,10,11",FLUSH,6063,"4,5,6,10,11_fl"
"3,5,9,9,13,13,13_unfl",FULL_HOUSE,7279,"9,9,13,13,13_unfl"
"2,2,3,6,7,13,14_unfl",ONE_PAIR,1491,"2,2,7,13,14_unfl"
"3,4,5,6,6,8,9_3,4,5,6,8",FLUSH,5871,"3,4,5,6,8_fl"
"3,4,5,6,10,12,13_5,6,10,12,13",FLUSH,6593,"5,6,10,12,13_fl"
"5,6,7,8,8,12,13_5,6,7,8,12",FLUSH,6143,"5,6,7,8,12_fl"
"2,2,4,5,9,11,13_2,4,5,9,11,13",FLUSH,6484,"4,5,9,11,13_fl"
"2,2,4,8,10,12,13_4,8,10,12,13",FLUSH,6601,"4,8,10,12,13_fl"
"3,5,5,9,9,11,14_3,5,9,11,14",FLUSH,6811,"3,5,9,11,14_fl"
"3,3,5,5,9,9,14_unfl",TWO_PAIRS,4411,"5,5,9,9,14_unfl"
"2,3,5,8,8,11,14_2,3,5,8,14",FLUSH,6662,"2,3,5,8,14_fl"
"2,2,2,4,4,8,9_unfl",FULL_HOUSE,7141,"2,2,2,4,4_unfl"
"2,4,6,9,9,10,14_unfl",ONE_PAIR,3007,"6,9,9,10,14_unfl"
"2,4,4,9,14,14,14_unfl",FULL_HOUSE,7286,"4,4,14,14,14_unfl"
"3,3,5,6,6,10,11_unfl",TWO_PAIRS,4221,"3,3,6,6,11_unfl"
"4,7,7,11,12,13,14_4,7,11,12,13",FLUSH,6624,"4,7,11,12,13_fl"
"3,3,4,10,11,12,14_3,4,10,11,12",FLUSH,6293,"3,4,10,11,12_fl"
"2,4,6,8,10,12,12_2,4,6,8,10,12",FLUSH,6207,"4,6,8,10,12_fl"
"3,5,6,7,8,9,11_5,6,7,8,9",STRAIGHT_FLUSH,7456,"5,6,7,8,9_fl"
"3,4,7,8,9,12,13_3,4,7,9,12,13",FLUSH,6575,"4,7,9,12,13_fl"
"5,7,8,9,12,13,14_5,7,8,12,13,14",FLUSH,7116,"7,8,12,13,14_fl"
"3,5,7,8,10,10,10_3,5,7,8,10",FLUSH,5944,"3,5,7,8,10_fl"
"3,4,4,7,8,10,11_3,4,7,8,10,11",FLUSH,6086,"4,7,8,10,11_fl"
"2,5,7,8,9,12,13_2,5,8,9,13",FLUSH,6376,"2,5,8,9,13_fl"
"3,4,5,7,10,14,14_unfl",ONE_PAIR,3986,"5,7,10,14,14_unfl"
"2,3,7,8,10,10,14_2,7,8,10,14",FLUSH,6746,"2,7,8,10,14_fl"
"3,10,10,10,12,12,13_unfl",FULL_HOUSE,7245,"10,10,10,12,12_unfl"
"3,8,9,9,10,12,14_3,8,9,10,14",FLUSH,6767,"3,8,9,10,14_fl"
"2,3,4,8,8,13,13_2,3,4,8,13",FLUSH,6333,"2,3,4,8,13_fl"
"2,3,3,3,5,7,13_2,3,5,7,13",FLUSH,6324,"2,3,5,7,13_fl"
"2,3,7,9,11,13,13_2,3,7,9,11",FLUSH,6029,"2,3,7,9,11_fl"
"3,7,10,10,12,13,14_7,10,12,13,14",FLUSH,7129,"7,10,12,13,14_fl"
"4,5,7,12,13,13,14_4,5,7,12,13,14",FLUSH,7109,"5,7,12,13,14_fl"
"5,5,6,7,8,9,9_5,6,7,8,9",STRAIGHT_FLUSH,7456,"5,6,7,8,9_fl"
"2,4,7,8,9,11,12_2,4,8,9,11,12",FLUSH,6287,"4,8,9,11,12_fl"
"4,4,8,9,11,12,14_4,8,9,11,12,14",FLUSH,6967,"8,9,11,12,14_fl"
"3,6,8,9,10,12,13_6,8,10,12,13",FLUSH,6603,"6,8,10,12,13_fl"
"2,3,5,5,6,9,13_2,3,6,9,13",FLUSH,6357,"2,3,6,9,13_fl"
"4,6,7,8,9,9,12_4,6,7,9,12",FLUSH,6162,"4,6,7,9,12_fl"
"3,3,4,10,10,10,14_unfl",FULL_HOUSE,7237,"3,3,10,10,10_unfl"
"3,6,7,7,8,8,9_3,6,7,8,9",FLUSH,5913,"3,6,7,8,9_fl"
"4,4,4,8,9,10,14_unfl",THREE_OF_KIND,5189,"4,4,4,10,14_unfl"
"3,4,7,9,10,11,13_unfl",HIGH_CARD,663,"7,9,10,11,13_unfl"
"3,7,7,9,9,13,14_unfl",TWO_PAIRS,4433,"7,7,9,9,14_unfl"
"6,8,8,14,14,14,14_unfl",FOUR_OF_KIND,7446,"8,14,14,14,14_unfl"
"3,5,6,7,10,11,12_5,6,10,11,12",FLUSH,6300,"5,6,10,11,12_fl"
"7,8,9,9,11,11,11_unfl",FULL_HOUSE,7255,"9,9,11,11,11_unfl"
"4,5,5,10,12,13,14_4,5,10,12,13,14",FLUSH,7127,"5,10,12,13,14_fl"
"4,4,6,8,9,10,12_4,8,9,10,12",FLUSH,6231,"4,8,9,10,12_fl"
"2,3,6,8,9,10,10_2,3,6,9,10",FLUSH,5954,"2,3,6,9,10_fl"
"2,5,8,9,9,13,14_2,5,8,9,14",FLUSH,6704,"2,5,8,9,14_fl"
"2,5,9,10,13,13,14_2,9,10,13,14",FLUSH,7053,"2,9,10,13,14_fl"
